Measure,Dependent Measure
a735b5b9-71d0-4fba-9b21-f7774ac34a40,5880062a-9875-4af2-ab9c-ff82c9ffffd0
5880062a-9875-4af2-ab9c-ff82c9ffffd0,0084c2bb-90fe-409c-8565-d56c800de2ad
a735b5b9-71d0-4fba-9b21-f7774ac34a40,0084c2bb-90fe-409c-8565-d56c800de2ad
8ea88f07-b298-40fa-9d36-6f50b083d53a,a2ef3839-5c2e-4a64-a60e-4d20e0b491eb
a2ef3839-5c2e-4a64-a60e-4d20e0b491eb,c2318c9f-5eaa-491b-a643-a2fc50c83bc9
a2ef3839-5c2e-4a64-a60e-4d20e0b491eb,99a985c4-b365-41a9-aa6c-c43f914835a7
c2318c9f-5eaa-491b-a643-a2fc50c83bc9,99a985c4-b365-41a9-aa6c-c43f914835a7
99a985c4-b365-41a9-aa6c-c43f914835a7,eb23ebe0-f815-4422-9cc3-552e16d708ea
c2318c9f-5eaa-491b-a643-a2fc50c83bc9,eb23ebe0-f815-4422-9cc3-552e16d708ea
19e63c02-0680-41ad-877b-0cf27201a95a,51a7b19a-9401-4ed3-a7f2-194934fbaf07
51a7b19a-9401-4ed3-a7f2-194934fbaf07,ef10ade3-5204-460b-bf61-b3e13f23afa9
19e63c02-0680-41ad-877b-0cf27201a95a,ef10ade3-5204-460b-bf61-b3e13f23afa9
19e63c02-0680-41ad-877b-0cf27201a95a,6bc3f3b8-398b-4db1-8d3b-47a4e984429b
6bc3f3b8-398b-4db1-8d3b-47a4e984429b,5f4a448c-abaa-4507-aab0-f5f5a20c89a2
6bc3f3b8-398b-4db1-8d3b-47a4e984429b,c346e565-14e2-4c86-af5b-cde71472e64e
5f4a448c-abaa-4507-aab0-f5f5a20c89a2,c346e565-14e2-4c86-af5b-cde71472e64e
c346e565-14e2-4c86-af5b-cde71472e64e,68517756-135b-4098-a1ba-928bf0c45ab1
5f4a448c-abaa-4507-aab0-f5f5a20c89a2,68517756-135b-4098-a1ba-928bf0c45ab1
6bc3f3b8-398b-4db1-8d3b-47a4e984429b,a5d5ac25-ba32-4073-bdb7-08ec322d18df
51a7b19a-9401-4ed3-a7f2-194934fbaf07,2e04a17e-0a79-4483-8ebb-279c30b41171
51a7b19a-9401-4ed3-a7f2-194934fbaf07,d0b5089d-56ee-4f48-811a-c5b8115104de
2e04a17e-0a79-4483-8ebb-279c30b41171,d0b5089d-56ee-4f48-811a-c5b8115104de
d0b5089d-56ee-4f48-811a-c5b8115104de,30d04f04-18ff-493a-bba5-281c0095061f
2e04a17e-0a79-4483-8ebb-279c30b41171,30d04f04-18ff-493a-bba5-281c0095061f
51a7b19a-9401-4ed3-a7f2-194934fbaf07,4851fd0e-1f23-45af-8b58-e77f46f0dbbc
19e63c02-0680-41ad-877b-0cf27201a95a,b8462f79-4655-4366-a85d-4b680b84c1cc
b8462f79-4655-4366-a85d-4b680b84c1cc,23cb2120-3ecd-4a18-8efd-2b67a507446f
19e63c02-0680-41ad-877b-0cf27201a95a,23cb2120-3ecd-4a18-8efd-2b67a507446f
b8462f79-4655-4366-a85d-4b680b84c1cc,ca234d80-b77f-478c-8600-18ff25b113d1
b8462f79-4655-4366-a85d-4b680b84c1cc,d49e35fc-2273-4487-997a-934de54db296
ca234d80-b77f-478c-8600-18ff25b113d1,d49e35fc-2273-4487-997a-934de54db296
d49e35fc-2273-4487-997a-934de54db296,6e396cbe-97b8-44bc-8749-180a98fd0363
ca234d80-b77f-478c-8600-18ff25b113d1,6e396cbe-97b8-44bc-8749-180a98fd0363
19e63c02-0680-41ad-877b-0cf27201a95a,a708b266-0973-42da-82ac-7ecc19ce745f
19e63c02-0680-41ad-877b-0cf27201a95a,6f1afe00-9ea0-40d9-9494-1e6ee18398f0
19e63c02-0680-41ad-877b-0cf27201a95a,8dafe2fd-a14c-4fa8-b96c-e9ce3c51f150
67745697-c7ae-424e-b087-ed6a99ff3654,8dafe2fd-a14c-4fa8-b96c-e9ce3c51f150
19e63c02-0680-41ad-877b-0cf27201a95a,53a440ee-06d4-4aaf-82c3-e5ac4962b18d
6f1afe00-9ea0-40d9-9494-1e6ee18398f0,53a440ee-06d4-4aaf-82c3-e5ac4962b18d
53a440ee-06d4-4aaf-82c3-e5ac4962b18d,cc8fe49e-4be1-4694-8a85-7c2805e7ba83
6f1afe00-9ea0-40d9-9494-1e6ee18398f0,cc8fe49e-4be1-4694-8a85-7c2805e7ba83
19e63c02-0680-41ad-877b-0cf27201a95a,e234adf2-e197-4e47-8bcd-9493c3a235ab
44a01ab6-8f10-4b40-94de-25da9f1ffa42,10b72919-72e6-4b9e-8dff-acfd1e0ee04d
44a01ab6-8f10-4b40-94de-25da9f1ffa42,5f07fba4-df5a-4e70-b7b4-21310b1b54af
10b72919-72e6-4b9e-8dff-acfd1e0ee04d,5f07fba4-df5a-4e70-b7b4-21310b1b54af
5f07fba4-df5a-4e70-b7b4-21310b1b54af,5956d230-cef0-4262-8253-fd73ca4a700e
10b72919-72e6-4b9e-8dff-acfd1e0ee04d,5956d230-cef0-4262-8253-fd73ca4a700e
44a01ab6-8f10-4b40-94de-25da9f1ffa42,d1a9deb4-1d02-44d7-ae43-f27a2891ed62
30e60428-ef2b-40ee-b30e-1a52cf461450,cb98f7e3-13f1-4619-b682-1eda1d087a4c
44a01ab6-8f10-4b40-94de-25da9f1ffa42,cb98f7e3-13f1-4619-b682-1eda1d087a4c
30e60428-ef2b-40ee-b30e-1a52cf461450,0225dbe9-bd33-469b-b76d-f12d00ee985f
30e60428-ef2b-40ee-b30e-1a52cf461450,59af0226-7715-4c77-97d6-9bf97c3a14ff
0225dbe9-bd33-469b-b76d-f12d00ee985f,59af0226-7715-4c77-97d6-9bf97c3a14ff
59af0226-7715-4c77-97d6-9bf97c3a14ff,21192b00-f5ef-4e16-af83-b269a0a121ac
0225dbe9-bd33-469b-b76d-f12d00ee985f,21192b00-f5ef-4e16-af83-b269a0a121ac
30e60428-ef2b-40ee-b30e-1a52cf461450,eddacdaa-eb92-4c5f-b447-3ccb063de6c7
51a7b19a-9401-4ed3-a7f2-194934fbaf07,a4075044-98d6-4408-ab02-06e462816372
ef10ade3-5204-460b-bf61-b3e13f23afa9,a4075044-98d6-4408-ab02-06e462816372
67745697-c7ae-424e-b087-ed6a99ff3654,147d4faa-df3b-44c1-a276-a4748d0b12d2
44a01ab6-8f10-4b40-94de-25da9f1ffa42,147d4faa-df3b-44c1-a276-a4748d0b12d2
35a5a99b-6bb4-4c24-bce5-a2727a8610ca,16d05077-0b25-42df-954e-c8f26382a02a
6dcdc11c-9321-4bd9-8f63-9fcd9d33a49a,8ea88f07-b298-40fa-9d36-6f50b083d53a
6dcdc11c-9321-4bd9-8f63-9fcd9d33a49a,f11aba61-f703-452e-ba27-da43bab2a8b4
35a5a99b-6bb4-4c24-bce5-a2727a8610ca,e4390a57-996c-4cb9-81bc-f1c70b21a71b
83855840-5302-4dfe-94ca-c02a75892072,aa948855-9488-4a0e-a540-2abf3a7349ee
e4390a57-996c-4cb9-81bc-f1c70b21a71b,92ef4b3e-2c60-48f9-898c-855d0e365d97
aa948855-9488-4a0e-a540-2abf3a7349ee,92ef4b3e-2c60-48f9-898c-855d0e365d97
92ef4b3e-2c60-48f9-898c-855d0e365d97,220897bb-9099-461e-ac80-d0ce6e85b437
aa948855-9488-4a0e-a540-2abf3a7349ee,220897bb-9099-461e-ac80-d0ce6e85b437
35a5a99b-6bb4-4c24-bce5-a2727a8610ca,0badd01f-474a-4dc0-8282-2d0d13c43c35
83855840-5302-4dfe-94ca-c02a75892072,8710b499-0e63-4d8e-bbad-34f406332bd2
0badd01f-474a-4dc0-8282-2d0d13c43c35,0f5ddd86-08cb-460d-a3fe-bb9b26f8f888
8710b499-0e63-4d8e-bbad-34f406332bd2,0f5ddd86-08cb-460d-a3fe-bb9b26f8f888
0f5ddd86-08cb-460d-a3fe-bb9b26f8f888,7e5e6222-800d-47f5-8f43-e8a73dcf1f84
8710b499-0e63-4d8e-bbad-34f406332bd2,7e5e6222-800d-47f5-8f43-e8a73dcf1f84
fc9fa984-ec61-4ca2-a8ac-f1744cf09819,849f63a5-e6a4-4534-a493-429a43e2f67f
849f63a5-e6a4-4534-a493-429a43e2f67f,e5ac64d5-fb3a-494c-a176-4859b8e05afd
0badd01f-474a-4dc0-8282-2d0d13c43c35,e5ac64d5-fb3a-494c-a176-4859b8e05afd
d3f88324-f56b-40a0-84ea-42339329a99a,e11efd3b-464e-4e80-9563-6b8ec17cdbf2
e11efd3b-464e-4e80-9563-6b8ec17cdbf2,bd9c6049-ae46-4b0b-baa6-396162015ded
849f63a5-e6a4-4534-a493-429a43e2f67f,bd9c6049-ae46-4b0b-baa6-396162015ded
bd9c6049-ae46-4b0b-baa6-396162015ded,cc70219b-92b6-4b63-b1da-2cffc7fa055f
e11efd3b-464e-4e80-9563-6b8ec17cdbf2,cc70219b-92b6-4b63-b1da-2cffc7fa055f
35a5a99b-6bb4-4c24-bce5-a2727a8610ca,3f23404a-ea43-46a8-b965-8ad2b5519a51
faf7f012-7e59-44e3-af0f-e201d5bc2ff4,791e53e5-c880-47d6-bac5-bdd12cf8509b
15a63b54-3fea-44a4-a466-6e84bf6613cf,b5d1e3f1-ba06-44a2-bdda-b231aa427f16
b5d1e3f1-ba06-44a2-bdda-b231aa427f16,54530724-d889-48a7-bb60-b3af03ad5396
791e53e5-c880-47d6-bac5-bdd12cf8509b,54530724-d889-48a7-bb60-b3af03ad5396
54530724-d889-48a7-bb60-b3af03ad5396,a7ee9096-219c-4821-b0f9-1ca7cee73609
b5d1e3f1-ba06-44a2-bdda-b231aa427f16,a7ee9096-219c-4821-b0f9-1ca7cee73609
cc57504e-067e-45f7-9503-f380d1f9e193,02da85ce-eb15-4ebe-bdb1-8e16ec36be3f
54c9cc75-f342-48fd-9e70-59335fca7dfd,cad3af25-b148-4a5d-9bcd-14f3d3b71c3e
cad3af25-b148-4a5d-9bcd-14f3d3b71c3e,d3dff111-e6f4-43d8-a393-63a51d8ead51
02da85ce-eb15-4ebe-bdb1-8e16ec36be3f,d3dff111-e6f4-43d8-a393-63a51d8ead51
d3dff111-e6f4-43d8-a393-63a51d8ead51,d08e530e-81b6-4a59-b67a-cbff6216236d
cad3af25-b148-4a5d-9bcd-14f3d3b71c3e,d08e530e-81b6-4a59-b67a-cbff6216236d
628cfdc9-162a-4637-8ff7-e4a2c6ea2576,33e2cdf2-9636-439c-8f79-875704be811d
b9ef311d-a3aa-4eee-9268-7a9acbac81a9,d79a1143-64f6-4403-a4b8-19681a136211
33e2cdf2-9636-439c-8f79-875704be811d,d06185d3-676b-4f98-aabe-c974db26a56a
d79a1143-64f6-4403-a4b8-19681a136211,d06185d3-676b-4f98-aabe-c974db26a56a
d06185d3-676b-4f98-aabe-c974db26a56a,e29d91fa-5969-4513-b8fd-c5ed43558910
d79a1143-64f6-4403-a4b8-19681a136211,e29d91fa-5969-4513-b8fd-c5ed43558910
cb2861f0-490e-470b-844c-0fd3bc7a3765,cf3c781d-7cd3-4717-8508-48ef29a9832e
0244078c-f9cb-4afb-a75c-dd8ac6674aca,ef62c5dc-1c68-401a-b177-4ca05c7bb0ec
cf3c781d-7cd3-4717-8508-48ef29a9832e,bacbf839-c5bc-45a8-a33b-c3e9a00ba861
ef62c5dc-1c68-401a-b177-4ca05c7bb0ec,bacbf839-c5bc-45a8-a33b-c3e9a00ba861
bacbf839-c5bc-45a8-a33b-c3e9a00ba861,12295b70-2218-4e81-a7ca-d7aaf152795b
ef62c5dc-1c68-401a-b177-4ca05c7bb0ec,12295b70-2218-4e81-a7ca-d7aaf152795b
ee75e103-f59d-4147-9061-ac69c04ce044,a66dc5d1-4f11-4881-9664-2843c8a1c183
6e922708-ea0c-487b-9fc9-8a2f69bb6cb7,901b493c-e1b0-469e-86f6-854262dad619
44a01ab6-8f10-4b40-94de-25da9f1ffa42,ee75e103-f59d-4147-9061-ac69c04ce044
67745697-c7ae-424e-b087-ed6a99ff3654,ee75e103-f59d-4147-9061-ac69c04ce044
c8be4175-21ea-41fa-8640-40f01cd1a439,5ab9a901-a359-4bb5-a6f8-4e188bd66a13
86defef5-95c2-4bd3-92f3-a811601e826a,f371331c-f13f-49c2-85a4-d71fbf774008
ee75e103-f59d-4147-9061-ac69c04ce044,54227141-8a09-4c75-b922-c7ff8d64d402
ee75e103-f59d-4147-9061-ac69c04ce044,3975058b-33e2-45f2-a1c6-24b7768c41c9
8745738a-7b68-42b1-90f8-d8540ddd5f64,61e3bb2c-5b38-46ec-818c-3e27d07aa85b
8745738a-7b68-42b1-90f8-d8540ddd5f64,2521754f-a264-416f-ad63-77ccd1049551
61e3bb2c-5b38-46ec-818c-3e27d07aa85b,2521754f-a264-416f-ad63-77ccd1049551
86d97262-5631-4bdf-b898-42c8436253b2,4ba66c8f-0cc6-4508-b0f5-4345bb8ca151
003d393b-6ea1-4595-8229-040a68c55365,4ba66c8f-0cc6-4508-b0f5-4345bb8ca151
35a5a99b-6bb4-4c24-bce5-a2727a8610ca,30cf5874-a4ca-4204-9737-a4c1975717ad
a7a14975-5439-441f-b27a-81a43997a928,30cf5874-a4ca-4204-9737-a4c1975717ad
e3e98eec-139e-4bb6-9085-59a3a466099e,30cf5874-a4ca-4204-9737-a4c1975717ad
5757fdb0-1e2b-4b99-8edc-a8df5b2f212c,30cf5874-a4ca-4204-9737-a4c1975717ad
21f5f044-f5d3-4076-bf87-f25f02468a34,30cf5874-a4ca-4204-9737-a4c1975717ad
628cfdc9-162a-4637-8ff7-e4a2c6ea2576,30cf5874-a4ca-4204-9737-a4c1975717ad
5cb54c9b-9c6a-4fbb-a7f5-4ecfaee0a545,30cf5874-a4ca-4204-9737-a4c1975717ad
19e63c02-0680-41ad-877b-0cf27201a95a,3633bf6a-10a3-4795-ae8e-71bc74cf9243
19e63c02-0680-41ad-877b-0cf27201a95a,baba24fd-94f5-4a0e-ab0d-cbc9e6633e89
e234adf2-e197-4e47-8bcd-9493c3a235ab,3a780166-b55a-4a80-aa8c-af9747064b98
baba24fd-94f5-4a0e-ab0d-cbc9e6633e89,3a780166-b55a-4a80-aa8c-af9747064b98
3a780166-b55a-4a80-aa8c-af9747064b98,8b567b0f-1a37-489d-bf09-7f1d5de437e9
baba24fd-94f5-4a0e-ab0d-cbc9e6633e89,8b567b0f-1a37-489d-bf09-7f1d5de437e9
b8462f79-4655-4366-a85d-4b680b84c1cc,e8098ad7-40f3-495e-8b45-c96e450735c6
